"Intersection","Good","Byzantine","Kendall_Mean","Kendall_SD","Spearman_Mean","Spearman_SD"
"A",201,99,0.744213138389684,0.0474660157018803,0.902555954919281,0.0334679892107848
"A",202,98,0.756197534855526,0.0353182039529277,0.912192628338464,0.0218382993729138
"A",203,97,0.746961294862773,0.0469472709196384,0.905089491954417,0.0327303537248817
"A",204,96,0.747756702681072,0.0369395853026304,0.905732410611303,0.0261350053168835
"A",205,95,0.741976465903435,0.0484468316472073,0.900932842210055,0.0338910936753102
"A",206,94,0.751747176540519,0.0413830857350457,0.908142118206506,0.0287868467881062
"A",207,93,0.754889243813467,0.0402595632245894,0.910180345761493,0.0284639402718858
"A",208,92,0.763404866562009,0.0412864054761899,0.915788890940992,0.0267940701859894
"A",209,91,0.772020857338151,0.0369235775680048,0.921320624709214,0.0240809098213577
"A",210,90,0.775990048590865,0.0354909746600922,0.924201616646659,0.0230247505493887
"A",211,89,0.771890821162588,0.0410555863068561,0.920438936522476,0.0278088029139245
"A",212,88,0.768161417019638,0.0453021082706248,0.918304550499445,0.0296027506235709
"A",213,87,0.779587850915014,0.0384627656330681,0.925850921777162,0.0248602633937749
"A",214,86,0.787475720007629,0.0359081163113196,0.930391832246917,0.0229717994919489
"A",215,85,0.786566834361652,0.0386095607531981,0.928944079957564,0.0249874805390797
"A",216,84,0.787801360544218,0.0461007765488439,0.928846747587924,0.0313070865579559
"A",217,83,0.792316749741371,0.0379361704588903,0.932479072366274,0.0231386767647026
"A",218,82,0.795492080134806,0.0367778453834071,0.935081590801458,0.0208749798833064
"A",219,81,0.797507184791725,0.0370782058292934,0.935323293152878,0.0239006826204845
"A",220,80,0.796093506493507,0.036896481917889,0.934514582560297,0.0245879938085087
"A",221,79,0.80474917351556,0.0316666662947671,0.939968776650932,0.0183401502713548
"A",222,78,0.804575105717963,0.0338322960259341,0.939556717822264,0.0226529922460593
"A",223,77,0.808186107806351,0.0330069521347683,0.941741236763764,0.0193601425275993
"A",224,76,0.806113994169096,0.0367944733698875,0.940377585319842,0.0212886952054589
"A",225,75,0.810660861678005,0.0361467626149354,0.943437735627584,0.0224691181289939
"A",226,74,0.819842369514177,0.0274700210367498,0.94767324841441,0.0155024576362229
"A",227,73,0.817450543918008,0.0320747053493297,0.946358847327477,0.0171234861253316
"A",228,72,0.821775581811672,0.0324222325277559,0.94928980434279,0.0173367858701875
"A",229,71,0.821514945192051,0.0403248354539874,0.948376189602478,0.0212367208518633
"A",230,70,0.831701579414375,0.0331522627255248,0.953772226107834,0.0173978786547796
"A",231,69,0.828534252142415,0.0357538052900653,0.95242391605993,0.0175434361600716
"A",232,68,0.831425193525686,0.0296025740468813,0.954833083578259,0.0147993848580588
"A",233,67,0.835387369711833,0.0320879632299075,0.955793088737641,0.0167835464874275
"A",234,66,0.834537728937729,0.0348297733127799,0.954992327187285,0.0181245704956213
"A",235,65,0.838012053842814,0.0341626672717356,0.955981156036883,0.0180180964787552
"A",236,64,0.840253614666205,0.0348996505388339,0.958019459987385,0.0172601784383429
"A",237,63,0.847222526478946,0.0333130747158352,0.961553796202025,0.0162589067300864
"A",238,62,0.852908111816155,0.0263702842621196,0.962983857072241,0.013209962629139
"A",239,61,0.853804457347793,0.0296850001634726,0.963876456021739,0.0140952182481325
"A",240,60,0.860570612244898,0.0238948103269049,0.96740643457383,0.0102963124622393
"A",241,59,0.8591140994157,0.0289174662102729,0.967072380487465,0.0133423439382762
"A",242,58,0.863872895935234,0.0257041228576761,0.968558999136845,0.0105958756839471
"A",243,57,0.865458369026623,0.0264691293092806,0.969166183016416,0.0107319236715577
"A",244,56,0.86574974907996,0.0254714813324023,0.969316371794619,0.0110006434024138
"A",245,55,0.870661890878801,0.0227257420269161,0.971207683073229,0.0094597967650177
"A",246,54,0.871034610917538,0.0281354964316655,0.97072637445222,0.0116782830975192
"A",247,53,0.8713571180699,0.0233579443520585,0.970957446622374,0.00894098863426339
"A",248,52,0.875989071757735,0.0246918823934429,0.973214560662975,0.00959167741829448
"A",249,51,0.875871026965003,0.0215133424502094,0.973008229797943,0.00815008629404473
"A",250,50,0.880128130612245,0.0190991258603547,0.974813456902761,0.00753999074899661
"A",251,49,0.88027397349378,0.0212092350446002,0.975029782430901,0.00813908820136008
"A",252,48,0.884246193715581,0.0173799943337354,0.976481030507441,0.00621995007572332
"A",253,47,0.886874437363878,0.0203239552544772,0.977203721963094,0.00728303315137674
"A",254,46,0.888279993572232,0.0184405961372058,0.977889839400327,0.00657353635058488
"A",255,45,0.890561920768307,0.0167046052662315,0.978631316997387,0.00598233559816613
"A",256,44,0.895160969387755,0.0195241294504782,0.980035076530612,0.00690334566103703
"A",257,43,0.895107821805765,0.0167960344541063,0.979927462969624,0.00593632919413852
"A",258,42,0.895302515424775,0.0201361357436842,0.980198345384666,0.00697988661197099
"A",259,41,0.89567611693326,0.0160732248262878,0.980675988078629,0.00463649501324277
"A",260,40,0.900871711145997,0.0179320144328204,0.981665830639948,0.00596425111870838
"A",261,39,0.903272750019548,0.0183920901662177,0.982624384006476,0.00571744103424446
"A",262,38,0.904165134756193,0.0179087994842981,0.982897053783345,0.0052724342502017
"A",263,37,0.907403119422674,0.0182152940231471,0.983729529530443,0.0053141093758637
"A",264,36,0.907105751391466,0.0192849816940583,0.983515326130452,0.00609883884490585
"A",265,35,0.906322680015402,0.0197450927543693,0.983151788715486,0.0061705746060785
"A",266,34,0.907402669940157,0.0178056459417944,0.983712245800576,0.00580294626961923
"A",267,33,0.907743606206528,0.0201209768574161,0.983658865793508,0.0058417940581357
"A",268,32,0.910961194029851,0.0174592546206565,0.98465263836878,0.005211705324898
"A",269,31,0.91254539109324,0.0155355416001046,0.985295047684501,0.0047700640976511
"A",270,30,0.912801088435374,0.0172105035091168,0.985033472944733,0.0045209360231081
"A",271,29,0.913434324873861,0.0160824443388125,0.985242205516893,0.00471525048452533
"A",272,28,0.913060264105642,0.0171753015454806,0.985131297224772,0.0052656440586875
"A",273,27,0.915148568438364,0.015249182230329,0.985732540048987,0.00463995778939928
"A",274,26,0.914988231789066,0.0153312543634477,0.985671517073983,0.00477803583312511
"A",275,25,0.919855495361781,0.016450139151291,0.987213117101386,0.00475153938875956
"A",276,24,0.919576929902396,0.0168748336329933,0.986939429684917,0.00470683241077953
"A",277,23,0.921134487585648,0.0150155758771529,0.987306994422318,0.00463806888140773
"A",278,22,0.921714755542505,0.0143538356822075,0.987599485261731,0.00423945618002045
"A",279,21,0.923471172555044,0.015093267506165,0.988069419595795,0.00423000359394707
"A",280,20,0.921579358600583,0.0132102671823371,0.987660408163265,0.00392037341969634
"A",281,19,0.924444418621541,0.0117431580803503,0.988386323924588,0.00340310566129697
"A",282,18,0.923365928499059,0.014879125211556,0.988216828859203,0.00428031709223033
"A",283,17,0.924334318886565,0.014916507901747,0.988504330636848,0.00429816284778541
"A",284,16,0.924858407588387,0.0150039057448428,0.988730358622322,0.00398034993547972
"A",285,15,0.92631888292159,0.0150595993611123,0.988876621806617,0.00412703664870926
"A",286,14,0.92728825460254,0.0149088371895922,0.989070915638983,0.004089126723933
"A",287,13,0.92864623480054,0.0126239806796754,0.98945220457521,0.00285635622098166
"A",288,12,0.930039342403628,0.0121110274384323,0.989732526343871,0.0028769918850015
"A",289,11,0.93098928041805,0.0122896961161754,0.990019009956924,0.00298524301361567
"A",290,10,0.929371653764954,0.0147308909203829,0.989471520470257,0.00386238194645966
"A",291,9,0.930180124833438,0.0141569564722955,0.989607059318573,0.00367361443892579
"A",292,8,0.931102040816327,0.0136065749274569,0.989805351181569,0.00367124802241359
"A",293,7,0.930835244131782,0.0135913163694751,0.989860414882677,0.00364802050506269
"A",294,6,0.931287074829932,0.0133771062068189,0.989909766355522,0.00351701520787626
"A",295,5,0.929822372881356,0.0139864518518935,0.989498651799703,0.00390384287194613
"A",296,4,0.932505460562603,0.0126094795987534,0.990131163816878,0.0035070407804147
"A",297,3,0.933251095993953,0.0129156224022727,0.990340650199474,0.00354325053627672
"A",298,2,0.933134967812628,0.014266470052667,0.99026488232877,0.0037637057817163
"A",299,1,0.935253893932155,0.0129359306162519,0.990783453448269,0.00337494764878941
"A'",201,99,0.521430236572241,0.07109816022696,0.701638649489647,0.0795472710505367
"A'",202,98,0.551115780965852,0.0665158514112116,0.733747214529376,0.0722000502036534
"A'",203,97,0.533082135317181,0.0788475873137426,0.716348080118747,0.0878658701581547
"A'",204,96,0.531676510604242,0.0653696923293605,0.713121154344091,0.073850293872452
"A'",205,95,0.539393210552514,0.0776028905147822,0.72168918923667,0.0848322699752578
"A'",206,94,0.562059679017238,0.0709820886711585,0.746159158032145,0.0734019810772164
"A'",207,93,0.569541476880607,0.060901212179775,0.754505470594035,0.0615616184430704
"A'",208,92,0.581769230769231,0.0672239926509813,0.767414091790562,0.0652809743697262
"A'",209,91,0.598521706864564,0.0618508647858725,0.78076585811358,0.0615957243574315
"A'",210,90,0.616592264334305,0.0537067679981289,0.801404017607043,0.0543700685520144
"A'",211,89,0.617244994680337,0.0626094441641305,0.799843434625035,0.0604765501340005
"A'",212,88,0.609808856372738,0.0721609001529935,0.792043326009649,0.0686727837425925
"A'",213,87,0.631245760275941,0.0571288961380913,0.813912323239155,0.0560055622130635
"A'",214,86,0.651296738508488,0.053855643299491,0.831597114359763,0.0500312652478453
"A'",215,85,0.652430640721405,0.0574101105239329,0.831515189145426,0.0521147876291272
"A'",216,84,0.652896598639456,0.0704542665036012,0.829521968787515,0.0672578613481274
"A'",217,83,0.6652551114455,0.0554606774202272,0.842183293962746,0.0485983359793597
"A'",218,82,0.678207826249766,0.0581107646809369,0.853473766754408,0.0476116763591925
"A'",219,81,0.682065790699842,0.0543857654614552,0.856888079067243,0.0480474807692076
"A'",220,80,0.689176400742115,0.0497674119941018,0.862635800502019,0.0443374844314707
"A'",221,79,0.701088706251731,0.0465054884137283,0.871849310946098,0.0376544917937139
"A'",222,78,0.704472733958448,0.0474245587894393,0.873533032672528,0.0418753632319339
"A'",223,77,0.714988414020317,0.0476215700946993,0.882009037516352,0.0386248194058642
"A'",224,76,0.712310641399417,0.0534782203403827,0.879758231864174,0.0409029107468924
"A'",225,75,0.721567782312925,0.055524946697571,0.886291036948113,0.0465215783737781
"A'",226,74,0.738296983926314,0.0400981896538684,0.899085068363629,0.0307511570583846
"A'",227,73,0.737186874044772,0.0426714985514878,0.898191021254317,0.0308944175782798
"A'",228,72,0.74920716075904,0.0432287163848407,0.906798930098355,0.0307010112266054
"A'",229,71,0.751606879957223,0.0548367899172753,0.906575314143125,0.037688010200477
"A'",230,70,0.76789437444543,0.046924307386888,0.918247933608226,0.0313784907161396
"A'",231,69,0.765305910416115,0.0469656256312416,0.916732074648041,0.0305734683861393
"A'",232,68,0.772113300492611,0.0392542192422078,0.922880490127085,0.0245829270842893
"A'",233,67,0.778054199877376,0.0407737828913771,0.924840616418241,0.0277473923355514
"A'",234,66,0.78099619745334,0.0442059527151304,0.926205690481321,0.028608703201187
"A'",235,65,0.785270968302215,0.0450984795016888,0.927613974611121,0.0297572394010792
"A'",236,64,0.791015150466966,0.044214170832267,0.932632119966631,0.0270384451446913
"A'",237,63,0.800103745802118,0.0444705220854216,0.938192342253357,0.0267769847241068
"A'",238,62,0.809843251586349,0.0341544110529548,0.941861853985292,0.0208252142663361
"A'",239,61,0.811364631542994,0.038046046751996,0.943496822996981,0.0226573692114566
"A'",240,60,0.82280693877551,0.0289191323409339,0.950489891956783,0.0149038080322257
"A'",241,59,0.822615835379795,0.0356516586163342,0.950407547583349,0.0192750499328888
"A'",242,58,0.830144307640412,0.0317471812377503,0.953832444713423,0.0153279397197373
"A'",243,57,0.832901116990006,0.0313119399455166,0.955432784471813,0.0152377097047141
"A'",244,56,0.837053596520575,0.0308938105891208,0.956982740637239,0.0151672564194734
"A'",245,55,0.84246550603915,0.0265070394361196,0.959582636646495,0.0128334021341794
"A'",246,54,0.844751949560312,0.0329834944735899,0.959700032208005,0.0159085433174125
"A'",247,53,0.846156754523672,0.0274263728750255,0.96046162983412,0.0122832560128206
"A'",248,52,0.853118894009217,0.0295178716973347,0.964003446539906,0.0133672910857354
"A'",249,51,0.853804507827227,0.0254193028672929,0.964055513289653,0.0112864417973646
"A'",250,50,0.859817273469388,0.0221148951414856,0.966988684753902,0.0100424134076901
"A'",251,49,0.861160354500366,0.0248988052073303,0.967802359828393,0.0105632596708215
"A'",252,48,0.866297376093294,0.0199999118316963,0.969930623678043,0.00807713562503567
"A'",253,47,0.869616584657578,0.0229365059762119,0.97102377520178,0.00905500654657303
"A'",254,46,0.871976345813916,0.0213351432578359,0.971950173455209,0.00845626535376084
"A'",255,45,0.875767523009204,0.0188237382142725,0.97332831673846,0.00762795380299098
"A'",256,44,0.88160012755102,0.0221699617990455,0.975495925870348,0.00851145857984761
"A'",257,43,0.88197176209005,0.018796992822238,0.975528634488815,0.00717447846511264
"A'",258,42,0.883312893529505,0.0229396930710535,0.976109647579962,0.00864930579009413
"A'",259,41,0.884409297927665,0.0181163981615097,0.976900321209565,0.00580616159974645
"A'",260,40,0.890117676609105,0.0203479027047921,0.978134424231231,0.00738101806930716
"A'",261,39,0.894818609742748,0.0199136019301843,0.980000761683984,0.00670191398570409
"A'",262,38,0.895737529210157,0.0194283877795478,0.980251789265324,0.00610893375651108
"A'",263,37,0.900205664623264,0.0196006567553061,0.981563896128794,0.00603383380628453
"A'",264,36,0.900371552257267,0.0210002482348388,0.98138878824257,0.00704032741609163
"A'",265,35,0.899954593762033,0.0209148010524689,0.981186618043444,0.00683204684493382
"A'",266,34,0.90156329599509,0.0193964244916575,0.981940373141738,0.00657350259994217
"A'",267,33,0.902345578231292,0.0213703988768477,0.982014695316329,0.00647445287859437
"A'",268,32,0.905749497410905,0.0185598746481057,0.983109114690652,0.00577018641518076
"A'",269,31,0.907826234731811,0.0164502416551864,0.983978428843656,0.00521662648195812
"A'",270,30,0.90855171579743,0.0181732192825539,0.983740639366858,0.00494859582051668
"A'",271,29,0.909426432713307,0.0170894916289178,0.984088008044546,0.0051845629145089
"A'",272,28,0.909782953181273,0.017623838736523,0.984195953675588,0.0055815501375803
"A'",273,27,0.912252612693429,0.0155103836172554,0.984932656139379,0.00485847737840748
"A'",274,26,0.912184835394012,0.0160945174996151,0.984885004512754,0.00513895520219012
"A'",275,25,0.917522879406308,0.0171349186168638,0.986566349012332,0.00508383459684794
"A'",276,24,0.91745554569654,0.0172434453017037,0.986386624214903,0.00489606268011624
"A'",277,23,0.919271730641715,0.0152455008149229,0.986779830199228,0.00483397221061446
"A'",278,22,0.920229628542064,0.0147200686488153,0.987198334873518,0.00438198232557134
"A'",279,21,0.922040640772438,0.0152233685430876,0.987706366847814,0.00433476951782955
"A'",280,20,0.920221457725948,0.0133448532091474,0.987312460984394,0.00400807111053783
"A'",281,19,0.92346633742465,0.0118533000679125,0.98811761459032,0.0034514324247435
"A'",282,18,0.922536170212766,0.015158560606273,0.987999271197841,0.0044262593226943
"A'",283,17,0.923439763467224,0.0150798919664674,0.988282722841787,0.00439278891624508
"A'",284,16,0.924278355849382,0.0149132321069437,0.988589161861928,0.0039813027997674
"A'",285,15,0.925681976369495,0.0151109192015293,0.988707156125608,0.00417052378194454
"A'",286,14,0.926880776366491,0.0150183674906259,0.98896797991924,0.00413959690199658
"A'",287,13,0.928328464765697,0.0127868360788863,0.989371405147425,0.0029030719384105
"A'",288,12,0.929792630385488,0.0121467082018867,0.989675756969454,0.00289199543757495
"A'",289,11,0.930751331120684,0.0122629776181126,0.989969269368647,0.00299479679471424
"A'",290,10,0.929276622097115,0.0146981149927235,0.989455326406425,0.00384585104276864
"A'",291,9,0.929998120485308,0.0141101423268954,0.989578472213628,0.00367499892661867
"A'",292,8,0.931041431367067,0.0136757819291031,0.989786275057968,0.00369323324246165
"A'",293,7,0.930750212439925,0.0135183210733281,0.989833871569106,0.00364702007902307
"A'",294,6,0.931231875607386,0.0133710039936491,0.989900815836539,0.00351366831839315
"A'",295,5,0.929803334486337,0.0139797046696254,0.989496086434574,0.00388854663483602
"A'",296,4,0.93249862107005,0.0126250925244379,0.990133441484702,0.00350993219100194
"A'",297,3,0.933266488009345,0.0129232601325012,0.990338968718801,0.00354768166419274
"A'",298,2,0.933167840021915,0.0142311986290471,0.990278540409452,0.00374639607088268
"A'",299,1,0.935222114531431,0.012935445955035,0.990782194349312,0.00336816803511281
"B",201,99,0.752680515788405,0.0480046334827999,0.908765617291693,0.0327763000912509
"B",202,98,0.761739502929885,0.0368207157042754,0.916449906695351,0.0216957425845018
"B",203,97,0.75282726450186,0.0495011817432881,0.909134317766515,0.0331319201380412
"B",204,96,0.756113645458183,0.0364097635530087,0.911597034107761,0.0251149874926926
"B",205,95,0.74776768541563,0.0497166058235489,0.905460027523204,0.0335211613367687
"B",206,94,0.758424410540915,0.043996715340148,0.912314222776489,0.0296294733621737
"B",207,93,0.76155173025732,0.0412087578551514,0.914756747916558,0.0283653957805857
"B",208,92,0.770954945054945,0.0428921205082265,0.920337759719272,0.0268449850735499
"B",209,91,0.778385392051557,0.0381804043317939,0.925718412149549,0.0238914805119358
"B",210,90,0.781696559766764,0.0369926734248758,0.928062370090894,0.0231510448253236
"B",211,89,0.777949124673566,0.0415227328041932,0.924195149149707,0.0276472099703009
"B",212,88,0.774382441278398,0.045347697990007,0.922399302362454,0.0286235571194048
"B",213,87,0.785551097058542,0.0388983440799095,0.929824215883536,0.0244273646521404
"B",214,86,0.793861834827389,0.036209487877633,0.934337673761093,0.0227856552175657
"B",215,85,0.791960512577124,0.0394344147355397,0.932085724336246,0.0254248822329968
"B",216,84,0.794660770975057,0.046482816048543,0.932925596905429,0.0303200148587442
"B",217,83,0.798935088874259,0.0389441203218095,0.936038176376541,0.0230982299342158
"B",218,82,0.800552106347126,0.0371692671903221,0.938239104816238,0.0206166660114788
"B",219,81,0.80302257012394,0.0395447765343381,0.938485377712729,0.0244034022438514
"B",220,80,0.801466716141002,0.0366165035007138,0.938018343337335,0.0241921194781748
"B",221,79,0.810482814664327,0.0327943214223925,0.943609962355983,0.0180445591940092
"B",222,78,0.809683103511675,0.0351772120519875,0.942701136670885,0.0227157714317404
"B",223,77,0.812796925048046,0.0329212054669889,0.944481664952977,0.0186258908184443
"B",224,76,0.811119387755102,0.03808662433118,0.942886400274396,0.0216466380939072
"B",225,75,0.816414766439909,0.0361039359763338,0.946508088035214,0.0217926082774136
"B",226,74,0.825773234603576,0.0287802331973389,0.950924828692539,0.0150044510779348
"B",227,73,0.824686577362222,0.0335637037482399,0.949810324129652,0.0171922390591006
"B",228,72,0.827681203007519,0.0331182574009487,0.952208470756724,0.0170832512042502
"B",229,71,0.826534533464041,0.0415491859224636,0.951176191699387,0.0207572639491343
"B",230,70,0.836496610470275,0.0346371996480106,0.956294061276685,0.0171128524575969
"B",231,69,0.833609470801308,0.0367461046375096,0.955240519064769,0.0171824735643777
"B",232,68,0.836225052779733,0.030967222914415,0.957336747112638,0.014601644159623
"B",233,67,0.840297100814575,0.0343280983608129,0.958116707283772,0.0170962805704824
"B",234,66,0.839313308913309,0.0354448701491578,0.957276342331804,0.0179806708678967
"B",235,65,0.843903916630482,0.0343467036901824,0.958918533881638,0.0171408604876426
"B",236,64,0.844663714977516,0.0355803818361097,0.960283850489348,0.0171084891356306
"B",237,63,0.852685645397399,0.0348413807669874,0.963921657777035,0.0165016869954527
"B",238,62,0.859289178528554,0.0275423135414479,0.965462640854661,0.0128460411353778
"B",239,61,0.858397745709162,0.0309996145873982,0.965806964794286,0.0140672982713399
"B",240,60,0.865858095238095,0.02460151147088,0.96953637454982,0.00998543058630657
"B",241,59,0.863245456854941,0.0297842040503706,0.968999947198797,0.0135109615342889
"B",242,58,0.869040310339012,0.025554311824008,0.970636857718294,0.0100520787075099
"B",243,57,0.870764424288234,0.027251588896268,0.971149656899797,0.0105151579871262
"B",244,56,0.871024422883908,0.0251255367708456,0.971401302816209,0.0105431531251093
"B",245,55,0.874520283215327,0.0231052073245223,0.972814566479653,0.00927586347633236
"B",246,54,0.875787224157956,0.0277925506668705,0.97241143481783,0.0113581309787384
"B",247,53,0.876445839874411,0.0243380531141869,0.97266026604974,0.00887612086461039
"B",248,52,0.881374720210665,0.0258914224889218,0.975178840568485,0.00946770911427807
"B",249,51,0.879939939349234,0.0223187535189711,0.974606270459991,0.00792880309345065
"B",250,50,0.884443297959184,0.0201083070519899,0.976485762304922,0.00766233777225391
"B",251,49,0.884127685177657,0.022883790689883,0.976401922681423,0.00837141305683408
"B",252,48,0.888677032717849,0.0177492287783967,0.977954549438823,0.0061399784549758
"B",253,47,0.891736645962733,0.0215782429900923,0.978842638399233,0.00731615085200844
"B",254,46,0.892795114896352,0.0181079900405242,0.979549451276574,0.00595790198248555
"B",255,45,0.894978023209284,0.0177789626638906,0.980166364898901,0.00596992514751294
"B",256,44,0.899516454081633,0.0195512692163392,0.981440238595438,0.00668347905587433
"B",257,43,0.899232271897086,0.0172778880369423,0.981362538478426,0.00587566606003146
"B",258,42,0.898525549754786,0.0214929861398218,0.981348118782397,0.0070801791680587
"B",259,41,0.899147427310693,0.0172577560245284,0.981829554061007,0.00468498251246143
"B",260,40,0.903530423861852,0.0180331203975399,0.982625298734879,0.00585332660645917
"B",261,39,0.907742841504418,0.0193952541256414,0.983961496322667,0.00570965383038416
"B",262,38,0.907899922106247,0.0178553281917758,0.984095613207115,0.0051681768934806
"B",263,37,0.911354139830837,0.0189548923054528,0.984763969161809,0.00538554812259562
"B",264,36,0.910666295609153,0.0198795786189758,0.98464052530103,0.00601438136684345
"B",265,35,0.909659329996149,0.0207651634701277,0.984136512265283,0.00623636874403725
"B",266,34,0.910537732085315,0.0188036928324764,0.984603525620775,0.00589420917784308
"B",267,33,0.910930153634487,0.0211848518614338,0.984483745857894,0.0059627607054893
"B",268,32,0.914211270179714,0.0184544797541118,0.985684384798696,0.00521282423701749
"B",269,31,0.915659085046658,0.0156186942705526,0.986198879849338,0.0046527465323139
"B",270,30,0.916543492063492,0.0179796463750999,0.985990691387666,0.00444820623818805
"B",271,29,0.91668071390918,0.0169443504986633,0.986062550776768,0.00473326975441433
"B",272,28,0.915906602641056,0.0182198649801995,0.985871428571429,0.00528148528094685
"B",273,27,0.918741960080736,0.0156236845858628,0.986687218183977,0.00457587889135797
"B",274,26,0.917515983911813,0.0162901410147918,0.986339404666976,0.00488022375446847
"B",275,25,0.922390322820037,0.0169941317813972,0.987922048237477,0.00469786542301918
"B",276,24,0.921858385093168,0.0173666685274865,0.987509974424552,0.00474639287073846
"B",277,23,0.923451911883887,0.0143890821756774,0.987861409979154,0.00439024694912806
"B",278,22,0.923862575245926,0.0150085617159117,0.988159720866764,0.00419166834870528
"B",279,21,0.925070470338673,0.0159005060812491,0.988502280912365,0.00446553385480047
"B",280,20,0.9238472303207,0.0137522250796993,0.988306863316755,0.00389249912777716
"B",281,19,0.92625497857506,0.0129744616631643,0.988802283048451,0.00367141135647595
"B",282,18,0.924754378347084,0.0153759192162482,0.988605150996569,0.00420368644955654
"B",283,17,0.926117083723949,0.0149558963050893,0.989001422759917,0.00411984560482134
"B",284,16,0.926220753089968,0.0156971331387078,0.989063909507465,0.00403567095262826
"B",285,15,0.928083179377014,0.0155042705663268,0.989389554558666,0.00403164835420408
"B",286,14,0.929446439275011,0.0153416091107938,0.989494639813968,0.00398800544869179
"B",287,13,0.93049938135533,0.0136178505921174,0.989938962065662,0.00290008873748135
"B",288,12,0.931081179138322,0.0129696544783192,0.989980298786181,0.00291782358254633
"B",289,11,0.932263766683144,0.0133105946941275,0.990347481276247,0.00314959501975474
"B",290,10,0.930097452498241,0.0151639816209768,0.989645111561866,0.00391243000150039
"B",291,9,0.931180138859668,0.0143599860139198,0.989825558264543,0.00373830973456861
"B",292,8,0.932248029074644,0.0141355806650025,0.990039309970564,0.00379924186493092
"B",293,7,0.932007633906805,0.0139284477455912,0.990140204614269,0.00356249472880236
"B",294,6,0.932108399278079,0.0135769882486572,0.990082792300594,0.00344197560946118
"B",295,5,0.930240996195088,0.0144365362446546,0.989584891041162,0.00399050804851599
"B",296,4,0.933022062879206,0.0127203197893286,0.990249148307972,0.00345877710086421
"B",297,3,0.933606101834673,0.0131663348932659,0.990396695243754,0.00358821410060101
"B",298,2,0.933221093000959,0.0146094400722627,0.99027946856595,0.00383890148003782
"B",299,1,0.935021172616204,0.0129366881107246,0.990778532683977,0.00332253972003362
